depth_m,phi,vsh,sw,vp_mps,vs_mps,rho_gcc,in_hugin
2988,0.0985,0.9313217813,1,3665.574,1952.906,2.5059,0
2992,0.1094905078,0.2657,1,3719.803785,2130.966624,2.477620084,0
2996,0.106,0.3804524424,1,3845.2351,2142.7581,2.483,0
3000,0.0885,0.5703,1,3813.9509,2153.0291,2.5107,0
3004,0.0979,0.4375197977,1,3697.0381,2116.135005,2.4957,0
3008,0.047,0.4849057059,1,3773.958,2104.824788,2.5759,0
3012,0.08289275203,0.3763299156,1,3853.4231,2177.82487,2.519385128,0
3016,0.155438818,0.1445964854,0.3167964854,3873.2629,2360.933663,2.370870607,0
3020,0.2043591328,0.01307854652,0.1690255022,3727.830476,2269.175368,2.274687823,0
3024,0.2319,0,0.1323,3750.2319,2216.0681,2.221,0
3028,0.1707,0.05220524914,0.2334400913,3954.0471,2382.136,2.3401,0
3032,0.2003103879,0.0175900901,0.1851,3561.678653,2126.867582,2.282878985,0
3036,0.2301773447,0.02249345642,0.1767007088,3586.728,2084.761426,2.228145311,1
3040,0.1869,0.0808,0.2393,3652.3611,2197.3269,2.3106,1
3044,0.1787,0.08979756287,0.2271,3759.9431,2291.137622,2.3262,1
3048,0.2270110898,0,0.07380981895,3684.161787,2265.010817,2.226715094,1
3052,0.2512,0,0.05973024018,3636.272,2268.8291,2.18,1
3056,0.2521459434,0,0.05654391903,3698.11732,2270.8979,2.178195951,1
3060,0.2283241754,0,0.06916106771,3799.703486,2285.9661,2.224007378,1
3064,0.1596,0.1008,0.2136,4498.0532,2199.321942,2.3556,1
3068,0.2001722226,0.04820680999,0.1928,3781.35456,2180.6489,2.283994802,1
3072,0.212,0,0.1914,3703.6951,2206.198,2.2639,1
3076,0.2121850998,0.007080798601,0.2052,3663.184736,2182.328354,2.262326651,1
3080,0.2008399484,0.03750959049,0.2313158981,3724.491,2134.2339,2.284981077,1
3084,0.2035,0,0.1798,3830.654178,2269.237045,2.2781,1
3088,0.1975,0,0.1935641847,3825.01,2326.915,2.2889,1
3092,0.225,0,0.2016,3660.052558,2111.603,2.2389,1
3096,0.224,0.009114751803,0.210351328,3461.019844,2056.095,2.2429,1
3100,0.1858966336,0.0948,0.33022387,3635.228,2082.3,2.317589135,1
3104,0.0622,0.0685,1,4244.8779,2401.748093,2.5519,1
3108,0.09453663224,0.0702,1,4182.1841,2415.606285,2.500887518,1
3112,0.1068361139,0.1913,1,4196.6153,2415.8459,2.479888657,1
3116,0.133696647,0.2511418812,1,4177.091723,2365.009,2.429711736,1
3120,0.1323187646,0.2038059425,1,4053.96,2337.723031,2.441271853,1
3124,0.11341125,0.2773153511,1,4161.7808,2390.3301,2.471149719,1
3128,0.1819,0.0817,1,4118.02398,2390.605,2.363,1
3132,0.1987827048,0.06758056749,1,4006.149237,2345.777361,2.336388146,1
3136,0.1932571954,0.1082419056,1,3956.365542,2306.28121,2.3451222,1
3140,0.1699,0.191490751,1,3932.199,2304.519222,2.3819,1
3144,0.1578712041,0.1858326093,1,4006.840823,2339.593,2.400941137,1
3148,0.1432,0.19,1,4059.7339,2365.917085,2.4241,1
3152,0.1569771607,0.219007407,1,3941.0779,2276.348658,2.402301234,1
3156,0.1668,0.1696,1,3954.625,2269.896,2.3869,0
3160,0.1114,0.1214,1,4422.9111,2441.96341,2.4741,0
3164,0.1125752213,0.1422773625,1,4431.667,2485.890862,2.472393206,0
3168,0.1546,0.2213977392,1,3926.261625,2187.988,2.406,0
3172,0.1680674012,0.2275651976,1,3905.9441,2239.001,2.384716923,0
3176,0.1844,0.0244,1,4019.362334,2406.9939,2.359,0
3180,0.1868,0.0074,1,4040.2429,2405.7781,2.3551,0
3184,0.1667535081,0.1342958154,1,4057.8069,2369.81865,2.386750021,0
3188,0.1673686948,0.1651690516,1,4057.8069,2325.325729,2.385757333,0
3192,0.145185147,0.143,1,4144.199296,2413.335808,2.420824136,0
3196,0.1299278184,0.1208,1,4418.6792,2440.9399,2.444908272,0
3200,0.1514,0.1071,1,4164.1128,2328.2839,2.4109,0
