depth_m,phi,vsh,sw,vp_mps,vs_mps,rho_gcc
2916,0.1173678915,0.8592,1,2961.245507,1579.1281,2.46525619
2920,0.1283,0.8434675999,1,3173.4951,1644.61519,2.4481
2924,0.1131,0.8716637567,1,3147.949,1606.077425,2.4721
2928,0.1123790624,0.9107,1,3115.018579,1573.264229,2.473090045
2932,0.1177377897,0.9195718956,1,3101.3101,1587.64793,2.464682947
2936,0.1226,0.8847884789,1,3128.126,1605.093691,2.457
2940,0.1239,0.8600870751,1,3196.2461,1641.251094,2.455
2944,0.1323308886,0.8460169961,1,3196.563192,1635.809077,2.441653667
2948,0.1284,0.8792,1,3178.3811,1633.011,2.4479
2952,0.122,0.8847,1,3264.115,1670.385546,2.4579
2956,0.1254915807,0.9008,1,3301.4929,1681.634,2.452475155
2960,0.1024908305,0.9007867883,1,3503.365228,1794.44543,2.488656323
2964,0.0838,0.8953,1,3600.086246,1841.772,2.5181
2968,0.0864,0.9111,1,3458.2277,1768.536195,2.514
2972,0.0921,0.9219,1,3400.315766,1736.597405,2.5049
2976,0.094,0.8823671354,1,3493.596716,1775.267,2.502
2980,0.0895,0.9161682807,1,3517.493906,1775.061381,2.509
2984,0.0851,0.9874877491,1,3651.408799,1825.258414,2.529145852
2988,0.0985,0.9313217813,1,3665.574,1952.906,2.5059
2992,0.1094905078,0.2657,1,3719.803785,2130.966624,2.477620084
2996,0.106,0.3804524424,1,3845.2351,2142.7581,2.483
3000,0.0885,0.5703,1,3813.9509,2153.0291,2.5107
3004,0.0979,0.4375197977,1,3697.0381,2116.135005,2.4957
3008,0.047,0.4849057059,1,3773.958,2104.824788,2.5759
3012,0.08289275203,0.3763299156,1,3853.4231,2177.82487,2.519385128
3016,0.155438818,0.1445964854,0.3167964854,3873.2629,2360.933663,2.370870607
3020,0.2043591328,0.01307854652,0.1690255022,3727.830476,2269.175368,2.274687823
3024,0.2319,0,0.1323,3750.2319,2216.0681,2.221
3028,0.1707,0.05220524914,0.2334400913,3954.0471,2382.136,2.3401
3032,0.2003103879,0.0175900901,0.1851,3561.678653,2126.867582,2.282878985
3036,0.2301773447,0.02249345642,0.1767007088,3586.728,2084.761426,2.228145311
3040,0.1869,0.0808,0.2393,3652.3611,2197.3269,2.3106
3044,0.1787,0.08979756287,0.2271,3759.9431,2291.137622,2.3262
3048,0.2270110898,0,0.07380981895,3684.161787,2265.010817,2.226715094
3052,0.2512,0,0.05973024018,3636.272,2268.8291,2.18
3056,0.2521459434,0,0.05654391903,3698.11732,2270.8979,2.178195951
3060,0.2283241754,0,0.06916106771,3799.703486,2285.9661,2.224007378
3064,0.1596,0.1008,0.2136,4498.0532,2199.321942,2.3556
3068,0.2001722226,0.04820680999,0.1928,3781.35456,2180.6489,2.283994802
3072,0.212,0,0.1914,3703.6951,2206.198,2.2639
3076,0.2121850998,0.007080798601,0.2052,3663.184736,2182.328354,2.262326651
3080,0.2008399484,0.03750959049,0.2313158981,3724.491,2134.2339,2.284981077
3084,0.2035,0,0.1798,3830.654178,2269.237045,2.2781
3088,0.1975,0,0.1935641847,3825.01,2326.915,2.2889
3092,0.225,0,0.2016,3660.052558,2111.603,2.2389
3096,0.224,0.009114751803,0.210351328,3461.019844,2056.095,2.2429
3100,0.1858966336,0.0948,0.33022387,3635.228,2082.3,2.317589135
3104,0.0622,0.0685,1,4244.8779,2401.748093,2.5519
3108,0.09453663224,0.0702,1,4182.1841,2415.606285,2.500887518
3112,0.1068361139,0.1913,1,4196.6153,2415.8459,2.479888657
3116,0.133696647,0.2511418812,1,4177.091723,2365.009,2.429711736
3120,0.1323187646,0.2038059425,1,4053.96,2337.723031,2.441271853
3124,0.11341125,0.2773153511,1,4161.7808,2390.3301,2.471149719
