depth_m,phi,vsh,sw,vp_mps,vs_mps,rho_gcc
3036,0.1318013381,0.8929785911,1,3096.082594,1594.516947,2.442098662
3040,0.1213683131,0.8853368541,1,3157.567844,1635.605907,2.458552811
3044,0.116,0.8859,1,3217.729,1704.541,2.467
3048,0.1361534792,0.8433846521,1,3208.4751,1713.885,2.435269781
3052,0.1309721128,0.8704138016,1,3268.333794,1734.590471,2.443469155
3056,0.0938,0.8932,1,3421.7161,1812.8101,2.502
3060,0.107,0.9130657985,1,3362.799374,1756.376344,2.4812
3064,0.1084,0.8510140074,1,3398.151486,1789.796417,2.479
3068,0.0951,0.8517878986,1,3505.3301,1826.616,2.5
3072,0.1033,0.8706,1,3377.591729,1744.4709,2.487
3076,0.1122,0.8717286277,1,3318.721794,1731.45398,2.473
3080,0.1097,0.8506,1,3370.078993,1775.11658,2.477
3084,0.09879798287,0.843,1,3442.187533,1817.329516,2.494103227
3088,0.1052626978,0.8480315994,1,3386.740252,1779.81189,2.483895504
3092,0.1084,0.9217834484,1,3277.7151,1733.789856,2.479
3096,0.109,0.9183,1,3325.001376,1722.400925,2.478
3100,0.1072630613,0.8871135884,1,3390.361628,1805.185153,2.480728231
3104,0.0995,0.9059623535,1,3390.729376,1802.982182,2.4929
3108,0.1128,0.883,1,3570.676,1885.671589,2.472
3112,0.1419,0.3432639505,1,3696.5029,2100.476414,2.426
3116,0.1646403022,0,1,3864.9939,2187.0391,2.390119396
3120,0.1726341971,0,1,3810.781232,2186.965864,2.377548704
3124,0.1577,0.089,1,3788.7661,2159.631463,2.401
3128,0.1546,0,1,3876.772,2187.155,2.406
3132,0.189,0,1,3907.7419,2224.072253,2.3516
3136,0.1311,0.03985377839,1,3811.107864,2159.472112,2.443
3140,0.01225718626,0.0335,1,3947.451622,2218.614376,2.630664221
3144,0.0766,0.1261,1,3865.930367,2202.04703,2.529
3148,0.1578862384,0.1342,1,3833.552,2196.657,2.400605122
3152,0.2235126069,0,1,4027.803,2409.8269,2.29713109
3156,0.2226288429,0,1,4009.121941,2383.584947,2.298451929
3160,0.2224865111,0.002351318472,1,3847.623585,2261.145006,2.298689148
3164,0.2348841801,0.0162,1,3745.428281,2221.470618,2.27903164
3168,0.2551993096,0,1,3641.9341,2123.6221,2.247
3172,0.2506278046,0,1,3692.19499,2176.075,2.254129952
3176,0.2431,0.02562970706,1,3707.0459,2181.4431,2.266
3180,0.2380448656,0.0261,1,3745.300935,2244.8091,2.274055134
3184,0.1044504819,0.04412186795,1,3976.749637,2369.8049,2.485049518
3188,0.2077923234,0.0039,1,3971.331942,2384.321353,2.321792283
3192,0.2315409766,0,1,3842.65229,2289.358679,2.284198372
3196,0.2179738233,0,1,3891.7361,2347.667,2.305655656
3200,0.2138968388,0,1,3919.166606,2359.013943,2.312147373
3204,0.2173852779,0.0851,1,3618.715433,2103.510992,2.306484188
3208,0.2101,0.1486,1,3855.781664,2284.872868,2.318
3212,0.2215,0,1,3897.244189,2352.657993,2.3
3216,0.2265,0,1,3896.012112,2355.8931,2.2921
3220,0.2448682279,0,1,3820.636,2264.834,2.263045389
3224,0.2519,0,1,3859.238,2318.6941,2.252
3228,0.2581,0,1,3813.231349,2258.426588,2.242
3232,0.2518,0,1,3822.195821,2245.863,2.2521
3236,0.2410668391,0,1,3968.121601,2371.038317,2.269047373
3240,0.2062,0,1,3979.4441,2350.071,2.3241
3244,0.2423,0.0324,1,3545.8311,2066.5049,2.267
3248,0.2584149223,0,1,3637.944935,2089.8379,2.241659706
3252,0.2367080001,0,1,3812.567805,1687.755,2.275823454
3256,0.2239281036,0,1,3875.511,2140.4009,2.295971896
3260,0.2259,5.045079197e-05,1,3853.906842,2222.5239,2.293
3264,0.2529888696,0.05495957335,1,3488.281564,2025.173848,2.250020819
3268,0.2651,0.0258,1,3435.707317,2009.368092,2.231
3272,0.2581,0.07872184565,1,3489.202572,2023.269873,2.242
3276,0.2263,0.5185490196,1,3488.918567,1834.681951,2.2922
3280,0.2194711222,0.7655018323,1,3180.2041,1637.282,2.303047116
3284,0.1021515236,0.6996,1,3524.362733,1825.159289,2.488576177
3288,0.06627058131,0.7543,1,3709.821,1884.918432,2.545237893
3292,0.1156414276,0.8429,1,3533.144053,1760.920795,2.46715185
3296,0.07759110511,0.744837107,1,3604.0549,1861.221108,2.527378527
3300,0.0703,0.7507638648,1,3904.635237,2040.680959,2.5389
3304,0.08290809196,0.7282565713,1,3975.724967,2154.720114,2.518845583
3308,0.06950552044,0.8795983297,1,3668.352648,1944.800052,2.540107252
3312,0.03003248926,0.9428937411,1,3387.098092,1648.091335,2.579
