Property,Heldout_training_well,Residual_observed_minus_predicted
Vp,19A,-48.654980468670146
Vp,19A,-15.922715661272377
Vp,19A,87.46011765076355
Vp,19A,52.6001918164975
Vp,19A,26.336766921102026
Vp,19A,89.287196304173
Vp,19A,169.69813288126988
Vp,19A,812.7038101376916
Vp,19A,123.45724419989574
Vp,19A,48.00059561962553
Vp,19A,7.437501562172656
Vp,19A,61.62412676698477
Vp,19A,168.9885839192675
Vp,19A,156.96920450348125
Vp,19A,14.232427659474524
Vp,19A,-185.01739155338646
Vp,19A,-40.56853762761057
Vp,19A,395.38950582479083
Vp,19A,360.0305672756858
Vp,19A,404.4289825725282
Vp,19A,417.1043494520377
Vp,19A,285.12891955009945
Vp,19A,389.07143570470225
Vp,19A,370.8428204124916
Vp,19A,270.801194142095
Vp,19A,223.00015358706014
Vp,19A,192.81429867351426
Vp,19A,256.4713763456389
Vp,19A,297.7649576092713
Vp,19A,195.35028106248728
Vp,BT2,211.6821434745625
Vp,BT2,50.21153811404565
Vp,BT2,-30.29707149139449
Vp,BT2,-102.54226537364184
Vp,BT2,-59.71518328206275
Vp,BT2,-54.2800679724146
Vp,BT2,-24.193436755022958
Vp,BT2,-7.998357047729769
Vp,BT2,150.19612745669338
Vp,BT2,59.70467618353723
Vp,BT2,86.7266897660279
Vp,BT2,107.52753624576098
Vp,BT2,-177.86997205393163
Vp,BT2,54.34949650147746
Vp,BT2,97.96875966621292
Vp,BT2,104.86727416530766
Vp,BT2,59.36007352350862
Vp,BT2,109.39656690837774
Vp,BT2,73.47184968585225
Vp,BT2,72.1917762463504
Vp,BT2,200.66416704372023
Vp,BT2,155.28906010025412
Vp,BT2,-216.04943528535114
Vp,BT2,-101.30246386554154
Vp,BT2,38.02238286661304
Vp,BT2,80.18395390360683
Vp,BT2,61.791894398046225
Vp,BT2,-253.7307361795447
Vp,BT2,-289.8252759416155
Vp,BT2,-241.87897719863395
Vp,BT2,-245.38892978627928
Vp,BT2,-537.9849677764514
Vp,BT2,-391.8666107150384
Vp,BT2,-258.7251132764927
Vp,BT2,-345.35234822773964
Vp,F1B,-198.0886708408034
Vp,F1B,119.0474534558557
Vp,F1B,-206.47084761198175
Vp,F1B,-130.37874342117857
Vp,F1B,-272.0292892212087
Vp,F1B,-78.14750262039433
Vp,F1B,-103.73866562484409
Vp,F1B,-146.02273886424564
Vp,F1B,-222.04059421725924
Vp,F1B,-212.7668213492907
Vp,F1B,-129.95257069045374
Vp,F1B,-18.263314357405307
Vp,F1B,17.459273609335924
Vp,F1B,-30.402114454732782
Vp,F1B,58.281712948000404
Vp,F12,-195.3664116524883
Vp,F12,-177.76999005343487
Vp,F12,-247.56489854778192
Vp,F12,236.6257892182466
Vp,F12,-146.55820318578026
Vp,F12,102.17160329151739
Vp,F12,-253.72801123557656
Vp,F12,-157.1236194998387
Vp,F12,-29.70161495005641
Vp,F12,-116.59444155927167
Vp,F12,-167.37998113709637
Vp,F12,-270.1783530741195
Vp,F12,-261.57927713582376
Vp,F12,90.72937478185486
Vp,F12,-187.86182624884214
Vp,F12,-174.1005368708802
Vp,F12,-182.24881548285066
Vp,F12,-108.16909393296464
Vp,F12,-81.25640236248682
Vp,F12,-241.6547339614367
Vp,F12,-187.68618202884318
Vp,F12,-126.97706484748005
Vp,F12,-117.53895925577945
Vp,F12,-106.77697423084646
Vp,F12,-153.78920782658452
Vp,F12,-138.85124062279692
Vp,F12,-44.904812152082286
Vp,F12,-252.55009276197643
Vp,F12,-315.80805733285024
Vp,F12,230.20063949440555
Vp,F12,-51.47970545969065
Vp,F12,-152.082143166675
Vp,F12,-438.41306002156944
Vp,F12,-100.6500633329224
Vp,F12,-240.49746409771024
Vp,F12,18.51719206241023
Vp,F12,213.87941950873892
Vp,F12,300.269582166145
Vp,F12,612.8286895531046
