Surrogate,Property,Degree,Alpha,R2_train,RMSE_train
Reference cubic a=0.1,Vp,3,0.1,0.7908425429101885,147.41294327693876
Reference cubic a=0.1,Vs,3,0.1,0.8536615104260519,101.39503624039928
Reference cubic a=0.1,rho,3,0.1,0.9995357105731856,0.0021689416899088555
Linear a=10,Vp,1,10.0,0.6833753710564896,181.3724367728816
Linear a=10,Vs,1,10.0,0.7776766885688169,124.9769471847233
Linear a=10,rho,1,10.0,0.9939049512118303,0.00785854370577565
Quadratic a=10,Vp,2,10.0,0.7419267199808404,163.7459102351933
Quadratic a=10,Vs,2,10.0,0.8218049589069634,111.88843973749752
Quadratic a=10,rho,2,10.0,0.9949658304096278,0.007141959788833059
Cubic a=10,Vp,3,10.0,0.7625196435715107,157.07706830715048
Cubic a=10,Vs,3,10.0,0.8380341484255496,106.67168125628312
Cubic a=10,rho,3,10.0,0.9930061732215366,0.008418038652071304
Transfer-regularized mixed,Vp,1,100.0,0.44025614985043426,241.15352045572772
Transfer-regularized mixed,Vs,3,10.0,0.8380341484255496,106.67168125628312
Transfer-regularized mixed,rho,1,10.0,0.9939049512118303,0.00785854370577565
