Surrogate,Scale_m,v1_angle_deg,v2_angle_deg,v3_angle_deg,top2_principal_angle_deg
Reference cubic a=0.1,4.0,0.0,0.0,0.0,8.537736462515939e-07
Linear a=10,4.0,68.46770933367301,79.53638349384312,57.01683560297719,57.01683560297716
Quadratic a=10,4.0,72.67478133861557,89.68902860441648,82.94058845684985,82.94058845684987
Cubic a=10,4.0,74.64739485125746,76.13105058922642,30.525407259978728,30.525407259978714
Transfer-regularized mixed,4.0,65.29008144858823,69.39765404536732,35.38911693944482,35.38911693944479
Reference cubic a=0.1,5.0,0.0,0.0,0.0,8.537736462515939e-07
Linear a=10,5.0,71.61784310053223,82.22900127766415,56.83062278029145,56.830622780291485
Quadratic a=10,5.0,75.25182656300525,88.70808113816712,83.35124116604005,83.35124116604005
Cubic a=10,5.0,76.9836886093535,77.752966587501,30.681980582418902,30.681980582418877
Transfer-regularized mixed,5.0,68.60137680923997,72.54040189837237,35.35304203718955,35.353042037189546
Reference cubic a=0.1,7.0,0.0,0.0,0.0,2.091309789151873e-06
Linear a=10,7.0,78.60716662417208,88.89262316772837,55.873112941680716,55.873112941680745
Quadratic a=10,7.0,80.41184144543416,85.03185650870967,84.90012603260395,84.90012603260396
Cubic a=10,7.0,81.637547448191,80.91174088269557,28.61517016472182,28.61517016472183
Transfer-regularized mixed,7.0,76.4103883763521,80.23929642906425,34.024145677861746,34.02414567786181
